Q#,Question Text,Grammar Topic,Unit Index,Inferred Level,Video Match Type,Video ID,Video Name,Video URL
150,"If it rains, we __________ the picnic.",Likelihood based on conditions 1,Unit 17,5,Exact Level,ep_1130,International Trade Administration - How to Sell Products Internationally,https://ejoy-english.com/epic/videoEpic/international-trade-administration/how-sell-products-internationally/ep_1130
151,She will be angry if you __________ late.,Likelihood based on conditions 1,Unit 17,5,Exact Level,59261,Woman Hiker in a Wheelchair Reached the Summit,https://ejoy-english.com/epic/videoEpic/59261
152,"If he studies hard, he __________ the exam.",Likelihood based on conditions 1,Unit 17,5,Exact Level,ep_1178,Howcast - How To Make A Pitch,https://ejoy-english.com/epic/videoEpic/howcast/how-make-pitch/ep_1178
153,You will fail the test __________ you study.,Likelihood based on conditions 1,Unit 17,5,Exact Level,ep_977,Pharrell Williams - Happy,https://ejoy-english.com/epic/videoEpic/pharrell-williams/happy/ep_977
154,We cannot enter __________ we have a ticket.,Likelihood based on conditions 1,Unit 17,5,Exact Level,ep_1301,Howcast - How To Be Popular,https://ejoy-english.com/epic/videoEpic/howcast/how-be-popular/ep_1301
155,The plant will die __________ you water it.,Likelihood based on conditions 1,Unit 17,5,Exact Level,ep_1130,International Trade Administration - How to Sell Products Internationally,https://ejoy-english.com/epic/videoEpic/international-trade-administration/how-sell-products-internationally/ep_1130
156,"If I __________ rich, I would travel the world.",Likelihood based on conditions 2,Unit 18,5,Exact Level,ep_934,Lady Gaga - Million Reasons,https://ejoy-english.com/epic/videoEpic/lady-gaga/million-reasons/ep_934
157,I would help you if I __________ the answer.,Likelihood based on conditions 2,Unit 18,5,Exact Level,ep_1218,Harvard Business Review - Four Ways To Think Like An Innovator,https://ejoy-english.com/epic/videoEpic/harvard-business-review/four-ways-think-innovator/ep_1218
158,"If she __________ time, she would join us.",Likelihood based on conditions 2,Unit 18,5,Exact Level,ep_1135,BBC News - Obama's Accomplishments,https://ejoy-english.com/epic/videoEpic/bbc-news/obamas-accomplishments/ep_1135
159,I wish he __________ talking so loudly.,Likelihood based on conditions 2,Unit 18,5,Exact Level,ep_1135,BBC News - Obama's Accomplishments,https://ejoy-english.com/epic/videoEpic/bbc-news/obamas-accomplishments/ep_1135
160,I wish they __________ make so much noise.,Likelihood based on conditions 2,Unit 18,5,Exact Level,ep_934,Lady Gaga - Million Reasons,https://ejoy-english.com/epic/videoEpic/lady-gaga/million-reasons/ep_934
161,I wish you __________ interrupt me.,Likelihood based on conditions 2,Unit 18,5,Exact Level,ep_714,"Who's Afraid of Virginia Woolf - Getting Angry, Baby?",https://ejoy-english.com/epic/videoEpic/whos-afraid-virginia-woolf/getting-angry-baby/ep_714
162,We are aiming __________ a quick solution.,Prepositions,Unit 19,5,Exact Level,ep_1126,BBC News - Brexit: The Divorce Papers,https://ejoy-english.com/epic/videoEpic/bbc-news/brexit-divorce-papers/ep_1126
163,She apologized __________ her mistake.,Prepositions,Unit 19,5,Exact Level,ep_1126,BBC News - Brexit: The Divorce Papers,https://ejoy-english.com/epic/videoEpic/bbc-news/brexit-divorce-papers/ep_1126
164,He applied __________ the job.,Prepositions,Unit 19,5,Exact Level,ep_1126,BBC News - Brexit: The Divorce Papers,https://ejoy-english.com/epic/videoEpic/bbc-news/brexit-divorce-papers/ep_1126
165,I am afraid __________ spiders.,Prepositions,Unit 19,5,Exact Level,ep_1126,BBC News - Brexit: The Divorce Papers,https://ejoy-english.com/epic/videoEpic/bbc-news/brexit-divorce-papers/ep_1126
166,She is capable __________ doing it.,Prepositions,Unit 19,5,Exact Level,ep_1126,BBC News - Brexit: The Divorce Papers,https://ejoy-english.com/epic/videoEpic/bbc-news/brexit-divorce-papers/ep_1126
167,We are proud __________ our achievements.,Prepositions,Unit 19,5,Exact Level,ep_1126,BBC News - Brexit: The Divorce Papers,https://ejoy-english.com/epic/videoEpic/bbc-news/brexit-divorce-papers/ep_1126
168,The woman __________ called you is here.,Relative clauses,Unit 20,6,Exact Level,ep_1261,History Of English - Global English,https://ejoy-english.com/epic/videoEpic/history-english/global-english/ep_1261
169,I met the man __________ wrote the book.,Relative clauses,Unit 20,6,Exact Level,ep_1261,History Of English - Global English,https://ejoy-english.com/epic/videoEpic/history-english/global-english/ep_1261
170,Those __________ work hard will succeed.,Relative clauses,Unit 20,6,Exact Level,5672,Understanding Canadian Humor,https://ejoy-english.com/epic/videoEpic/5672
171,"My car, __________ I bought last year, is broken.",Relative clauses,Unit 20,6,Exact Level,5672,Understanding Canadian Humor,https://ejoy-english.com/epic/videoEpic/5672
172,"London, __________ is the capital of UK, is very large.",Relative clauses,Unit 20,6,Exact Level,5672,Understanding Canadian Humor,https://ejoy-english.com/epic/videoEpic/5672
173,"This painting, __________ was painted in 1900, is valuable.",Relative clauses,Unit 20,6,Exact Level,5672,Understanding Canadian Humor,https://ejoy-english.com/epic/videoEpic/5672
174,__________ is important to study hard.,Ways of organising texts,Unit 21,6,Exact Level,ep_1306,Associated Press - Uzbeks Caught As Neighbors Close Kyrgyz Borders,https://ejoy-english.com/epic/videoEpic/associated-press/uzbeks-caught-neighbors-close-kyrgyz-borders/ep_1306
175,__________ seems that he is lost.,Ways of organising texts,Unit 21,6,Exact Level,ep_1306,Associated Press - Uzbeks Caught As Neighbors Close Kyrgyz Borders,https://ejoy-english.com/epic/videoEpic/associated-press/uzbeks-caught-neighbors-close-kyrgyz-borders/ep_1306
176,__________ is clear that we have a problem.,Ways of organising texts,Unit 21,6,Exact Level,ep_1306,Associated Press - Uzbeks Caught As Neighbors Close Kyrgyz Borders,https://ejoy-english.com/epic/videoEpic/associated-press/uzbeks-caught-neighbors-close-kyrgyz-borders/ep_1306
177,She decided to leave and __________ a new job.,Ways of organising texts,Unit 21,6,Exact Level,ep_1306,Associated Press - Uzbeks Caught As Neighbors Close Kyrgyz Borders,https://ejoy-english.com/epic/videoEpic/associated-press/uzbeks-caught-neighbors-close-kyrgyz-borders/ep_1306
178,We want to eat and __________ fun.,Ways of organising texts,Unit 21,6,Exact Level,ep_1306,Associated Press - Uzbeks Caught As Neighbors Close Kyrgyz Borders,https://ejoy-english.com/epic/videoEpic/associated-press/uzbeks-caught-neighbors-close-kyrgyz-borders/ep_1306
179,He promised to call and __________ me.,Ways of organising texts,Unit 21,6,Exact Level,ep_1306,Associated Press - Uzbeks Caught As Neighbors Close Kyrgyz Borders,https://ejoy-english.com/epic/videoEpic/associated-press/uzbeks-caught-neighbors-close-kyrgyz-borders/ep_1306
180,The letter __________ yesterday.,The passive,Unit 22,6,Exact Level,ep_1318,Discovery Channel - Alien Speculation,https://ejoy-english.com/epic/videoEpic/discovery-channel/alien-speculation/ep_1318
181,This house __________ in 1990.,The passive,Unit 22,6,Exact Level,ep_1318,Discovery Channel - Alien Speculation,https://ejoy-english.com/epic/videoEpic/discovery-channel/alien-speculation/ep_1318
182,The decision __________ last week.,The passive,Unit 22,6,Exact Level,ep_1016,The Killers - Read My Mind,https://ejoy-english.com/epic/videoEpic/killers/read-my-mind/ep_1016
183,I need to __________.,The passive,Unit 22,6,Exact Level,2637,How Is Chocolate Made?,https://ejoy-english.com/epic/videoEpic/2637
184,She is __________.,The passive,Unit 22,6,Exact Level,ep_1318,Discovery Channel - Alien Speculation,https://ejoy-english.com/epic/videoEpic/discovery-channel/alien-speculation/ep_1318
185,We are __________.,The passive,Unit 22,6,Exact Level,ep_1016,The Killers - Read My Mind,https://ejoy-english.com/epic/videoEpic/killers/read-my-mind/ep_1016
186,I went to work __________ I was sick.,Linking ideas,Unit 23,7,Exact Level,ep_872,The Big Bang Theory - Feelings,https://ejoy-english.com/epic/videoEpic/big-bang-theory/feelings/ep_872
187,"__________ it was cold, we went swimming.",Linking ideas,Unit 23,7,Exact Level,ep_872,The Big Bang Theory - Feelings,https://ejoy-english.com/epic/videoEpic/big-bang-theory/feelings/ep_872
188,He failed the exam __________ he studied hard.,Linking ideas,Unit 23,7,Exact Level,ep_872,The Big Bang Theory - Feelings,https://ejoy-english.com/epic/videoEpic/big-bang-theory/feelings/ep_872
189,He is intelligent. __________ he is hardworking.,Linking ideas,Unit 23,7,Exact Level,ep_872,The Big Bang Theory - Feelings,https://ejoy-english.com/epic/videoEpic/big-bang-theory/feelings/ep_872
190,The hotel is cheap. __________ it is close to the beach.,Linking ideas,Unit 23,7,Exact Level,ep_872,The Big Bang Theory - Feelings,https://ejoy-english.com/epic/videoEpic/big-bang-theory/feelings/ep_872
191,I like reading. __________ I enjoy hiking.,Linking ideas,Unit 23,7,Exact Level,ep_872,The Big Bang Theory - Feelings,https://ejoy-english.com/epic/videoEpic/big-bang-theory/feelings/ep_872
192,__________ I lost my keys.,Showing your position in a text,Unit 24,7,Fallback Level 6,ep_1085,Beyonce - Sweet Dreams,https://ejoy-english.com/epic/videoEpic/beyonce/sweet-dreams/ep_1085
193,__________ we missed the train.,Showing your position in a text,Unit 24,7,Fallback Level 6,ep_1085,Beyonce - Sweet Dreams,https://ejoy-english.com/epic/videoEpic/beyonce/sweet-dreams/ep_1085
194,__________ he didn't get the job.,Showing your position in a text,Unit 24,7,Fallback Level 6,ep_1085,Beyonce - Sweet Dreams,https://ejoy-english.com/epic/videoEpic/beyonce/sweet-dreams/ep_1085
195,__________ I believe he is right.,Showing your position in a text,Unit 24,7,Fallback Level 6,ep_1085,Beyonce - Sweet Dreams,https://ejoy-english.com/epic/videoEpic/beyonce/sweet-dreams/ep_1085
196,__________ I don't like it.,Showing your position in a text,Unit 24,7,Fallback Level 6,ep_1085,Beyonce - Sweet Dreams,https://ejoy-english.com/epic/videoEpic/beyonce/sweet-dreams/ep_1085
197,__________ I prefer tea.,Showing your position in a text,Unit 24,7,Fallback Level 6,ep_1085,Beyonce - Sweet Dreams,https://ejoy-english.com/epic/videoEpic/beyonce/sweet-dreams/ep_1085
198,The __________ of the sun was beautiful.,Nominalisation in written English,Unit 25,7,Exact Level,59279,"Taking Life Seriously, But Not Too Much",https://ejoy-english.com/epic/videoEpic/59279
199,The __________ of the team was important.,Nominalisation in written English,Unit 25,7,Exact Level,59279,"Taking Life Seriously, But Not Too Much",https://ejoy-english.com/epic/videoEpic/59279
200,The __________ of the new system caused problems.,Nominalisation in written English,Unit 25,7,Exact Level,59279,"Taking Life Seriously, But Not Too Much",https://ejoy-english.com/epic/videoEpic/59279
